date,4. close,4. close,4. close
2014-02-12,37.47,535.92,1186.69
2014-02-13,37.61,544.43,1199.9
2014-02-14,37.62,543.99,1202.8
2014-02-18,37.42,545.99,1210.88
2014-02-19,37.51,537.37,1202.34
2014-02-20,37.75,531.15,1204.11
2014-02-21,37.98,525.25,1203.79
2014-02-24,37.69,527.55,1212.51
2014-02-25,37.54,522.06,1220.0
2014-02-26,37.47,517.35,1220.17
2014-02-27,37.86,527.67,1219.21
2014-02-28,38.31,526.24,1215.65
2014-03-03,37.78,527.76,1202.69
2014-03-04,38.41,531.24,1214.91
2014-03-05,38.11,532.36,1218.26
2014-03-06,38.15,530.75,1219.61
2014-03-07,37.9,530.44,1214.79
2014-03-10,37.82,530.92,1211.57
2014-03-11,38.02,536.09,1199.99
2014-03-12,38.27,536.61,1207.3
2014-03-13,37.89,530.65,1189.06
2014-03-14,37.7,524.69,1172.8
2014-03-17,38.05,526.74,1192.1
2014-03-18,39.55,531.4,1211.26
2014-03-19,39.27,531.26,1199.25
2014-03-20,40.33,528.7,1197.16
2014-03-21,40.16,532.87,1183.04
2014-03-24,40.5,539.19,1157.93
2014-03-25,40.34,544.99,1158.72
2014-03-26,39.79,539.78,1131.97
2014-03-27,39.36,537.46,1114.28
2014-03-28,40.3,536.86,1120.15
2014-03-31,40.99,536.74,1114.51
2014-04-01,41.42,541.65,1134.89
2014-04-02,41.35,542.55,1135.1
2014-04-03,41.01,538.79,571.5
2014-04-04,39.87,531.82,545.25
2014-04-07,39.8,523.47,540.63
2014-04-08,39.82,523.44,557.51
2014-04-09,40.47,530.32,567.04
2014-04-10,39.36,523.48,546.69
2014-04-11,39.209,519.61,537.76
2014-04-14,39.18,521.68,545.2
2014-04-15,39.75,517.9599,548.7
2014-04-16,40.4,519.01,563.9
2014-04-17,40.01,524.94,543.34
2014-04-21,39.94,531.17,539.37
2014-04-22,39.99,531.699,545.5
2014-04-23,39.69,524.75,537.51
2014-04-24,39.86,567.77,534.44
2014-04-25,39.91,571.94,523.1
2014-04-28,40.87,594.09,522.98
2014-04-29,40.51,592.33,536.33
2014-04-30,40.4,590.09,534.88
2014-05-01,40.0,591.48,538.53
2014-05-02,39.69,592.58,533.87
2014-05-05,39.43,600.96,535.33
2014-05-06,39.06,594.41,522.57
2014-05-07,39.425,592.33,518.0
2014-05-08,39.64,587.99,520.17
2014-05-09,39.54,585.5425,526.62
2014-05-12,39.97,592.83,538.43
2014-05-13,40.42,593.76,541.54
2014-05-14,40.24,593.87,534.41
2014-05-15,39.6,588.82,529.12
2014-05-16,39.83,597.51,528.3
2014-05-19,39.75,604.59,538.83
2014-05-20,39.68,604.71,540.39
2014-05-21,40.35,606.31,549.7
2014-05-22,40.1,607.27,555.45
2014-05-23,40.12,614.13,563.8
2014-05-27,40.19,625.63,574.87
2014-05-28,40.01,624.01,570.45
2014-05-29,40.34,635.38,570.56
2014-05-30,40.94,633.0,571.65
2014-06-02,40.79,628.65,564.34
2014-06-03,40.29,637.54,554.51
2014-06-04,40.32,644.82,553.76
2014-06-05,41.21,647.35,564.93
2014-06-06,41.48,645.57,566.03
2014-06-09,41.27,93.7,570.73
2014-06-10,41.11,94.25,568.3
2014-06-11,40.86,93.86,567.5
2014-06-12,40.58,92.29,559.5
2014-06-13,41.23,91.28,560.35
2014-06-16,41.5,92.2,552.3
2014-06-17,41.68,92.08,550.615
2014-06-18,41.65,92.18,560.66
2014-06-19,41.51,91.86,564.99
2014-06-20,41.68,90.91,566.52
2014-06-23,41.99,90.83,574.29
2014-06-24,41.745,90.28,572.54
2014-06-25,42.03,90.36,585.93
2014-06-26,41.72,90.9,584.77
2014-06-27,42.25,91.98,585.69
2014-06-30,41.7,92.93,584.67
2014-07-01,41.87,93.52,591.49
2014-07-02,41.9,93.48,590.78
2014-07-03,41.8,94.03,593.08
2014-07-07,41.99,95.968,590.76
2014-07-08,41.78,95.35,578.4
2014-07-09,41.67,95.39,583.36
2014-07-10,41.685,95.035,580.04
2014-07-11,42.09,95.22,586.65
2014-07-14,42.14,96.45,594.26
2014-07-15,42.45,95.32,593.06
2014-07-16,44.08,94.78,590.62
2014-07-17,44.53,93.0899,580.82
2014-07-18,44.69,94.43,605.11
2014-07-21,44.835,93.939,598.44
2014-07-22,44.83,94.72,603.57
2014-07-23,44.87,97.19,605.19
2014-07-24,44.4,97.03,603.01
2014-07-25,44.5,97.671,598.08
2014-07-28,43.97,99.02,599.02
2014-07-29,43.885,98.38,593.95
2014-07-30,43.5785,98.15,595.44
2014-07-31,43.16,95.6,579.55
2014-08-01,42.86,96.13,573.6
2014-08-04,43.37,95.59,582.27
2014-08-05,43.08,95.12,573.14
2014-08-06,42.74,94.96,574.49
2014-08-07,43.23,94.48,571.81
2014-08-08,43.2,94.74,577.94
2014-08-11,43.2,95.99,577.25
2014-08-12,43.52,95.97,572.12
2014-08-13,44.08,97.24,584.56
2014-08-14,44.27,97.5,584.65
2014-08-15,44.79,97.98,583.71
2014-08-18,45.11,99.16,592.7
2014-08-19,45.33,100.53,597.11
2014-08-20,44.95,100.57,595.41
2014-08-21,45.22,100.58,592.42
2014-08-22,45.15,101.32,592.54
2014-08-25,45.17,101.54,590.57
2014-08-26,45.005,100.889,588.12
2014-08-27,44.87,102.13,583.0
2014-08-28,44.88,102.25,580.32
2014-08-29,45.43,102.5,582.36
2014-09-02,45.09,103.3,588.63
2014-09-03,44.96,98.94,589.52
2014-09-04,45.26,98.12,593.14
2014-09-05,45.91,98.97,597.78
2014-09-08,46.47,98.36,601.63
2014-09-09,46.76,97.99,591.97
2014-09-10,46.84,101.0,593.42
2014-09-11,47.0,101.43,591.11
2014-09-12,46.695,101.66,584.9
2014-09-15,46.24,101.63,581.64
2014-09-16,46.76,100.86,588.78
2014-09-17,46.52,101.58,593.29
2014-09-18,46.68,101.79,597.27
2014-09-19,47.52,100.96,605.4
2014-09-22,47.06,101.06,597.27
2014-09-23,46.56,102.64,591.18
2014-09-24,47.08,101.75,598.42
2014-09-25,46.04,97.87,585.25
2014-09-26,46.41,100.75,587.9
2014-09-29,46.44,100.11,587.81
2014-09-30,46.36,100.75,588.41
2014-10-01,45.9,99.18,579.63
2014-10-02,45.76,99.9,580.88
2014-10-03,46.09,99.62,586.25
2014-10-06,46.09,99.62,587.78
2014-10-07,45.53,98.75,574.1
2014-10-08,46.78,100.8,583.74
2014-10-09,45.85,101.02,570.81
2014-10-10,44.03,100.73,555.19
2014-10-13,43.65,99.81,544.75
2014-10-14,43.73,98.75,548.69
2014-10-15,43.22,97.54,540.73
2014-10-16,42.74,96.26,536.92
2014-10-17,43.63,97.67,522.97
2014-10-20,44.08,99.76,532.38
2014-10-21,44.88,102.47,538.03
2014-10-22,44.38,102.99,542.69
2014-10-23,45.02,104.83,553.65
2014-10-24,46.13,105.22,548.9
2014-10-27,45.91,105.11,549.88
2014-10-28,46.49,106.74,558.94
2014-10-29,46.62,107.34,558.45
2014-10-30,46.05,106.98,560.27
2014-10-31,46.95,108.0,567.87
