Datum;Schlusskurs;SMA
2018-11-21 00:00:00;103,11;103,716
2018-11-20 00:00:00;101,71;103,6557
2018-11-19 00:00:00;104,62;103,9442
2018-11-16 00:00:00;108,29;104,1652
2018-11-15 00:00:00;107,28;104,1601
2018-11-14 00:00:00;104,97;104,1965
2018-11-13 00:00:00;106,94;104,4528
2018-11-12 00:00:00;106,87;104,6498
2018-11-09 00:00:00;109,57;104,6853
2018-11-08 00:00:00;111,75;104,6853
2018-11-07 00:00:00;111,96;104,4018
2018-11-06 00:00:00;107,72;104,1203
2018-11-05 00:00:00;107,51;104,3407
2018-11-02 00:00:00;106,16;104,5028
2018-11-01 00:00:00;105,92;104,7925
2018-10-31 00:00:00;106,81;105,126
2018-10-30 00:00:00;103,73;105,5318
2018-10-29 00:00:00;103,85;106,0861
2018-10-26 00:00:00;106,96;106,6569
2018-10-25 00:00:00;108,3;107,0166
2018-10-24 00:00:00;102,32;107,3131
2018-10-23 00:00:00;108,1;107,8791
2018-10-22 00:00:00;109,63;108,1873
2018-10-19 00:00:00;108,66;108,4319
2018-10-18 00:00:00;108,5;108,7038
2018-10-17 00:00:00;110,71;108,9498
2018-10-16 00:00:00;111;108,9979
2018-10-15 00:00:00;107,6;109,1052
2018-10-12 00:00:00;109,57;109,3255
2018-10-11 00:00:00;105,91;109,51
2018-10-10 00:00:00;106,16;109,8497
2018-10-09 00:00:00;112,26;110,1191
2018-10-08 00:00:00;110,85;110,0696
2018-10-05 00:00:00;112,13;109,9983
2018-10-04 00:00:00;112,79;109,808
2018-10-03 00:00:00;115,17;109,6114
2018-10-02 00:00:00;115,15;109,2872
2018-10-01 00:00:00;115,61;109,1202
2018-09-28 00:00:00;114,37;108,961
2018-09-27 00:00:00;114,41;108,8435
2018-09-26 00:00:00;113,98;108,7275
2018-09-25 00:00:00;114,45;108,547
2018-09-24 00:00:00;114,67;108,3116
2018-09-21 00:00:00;114,26;108,0072
2018-09-20 00:00:00;113,57;107,682
2018-09-19 00:00:00;111,7;107,366
2018-09-18 00:00:00;113,21;107,0884
2018-09-17 00:00:00;112,14;106,7807
2018-09-14 00:00:00;113,37;106,5593
2018-09-13 00:00:00;112,91;106,2812
2018-09-12 00:00:00;111,71;106,0264
2018-09-11 00:00:00;111,24;105,9014
2018-09-10 00:00:00;109,38;105,7339
2018-09-07 00:00:00;108,21;105,6949
2018-09-06 00:00:00;108,74;105,7451
2018-09-05 00:00:00;108,49;105,7608
2018-09-04 00:00:00;111,71;105,7592
